1, 46 77 72 48 76 75 2 6 24 26 32 67 8 62 63 16 64 36 43 45 7 56 29 73 4 49 54 69 18 74 5 79 39 17 11 9 78 68 58 12 51 55 14 44 31 71 50 25 70 19 27 1 38 30 65 41 40 20 21 3 10 22 37 52 60 57 61 33 15 28 53 34 35 59 66 47 23 13 
2, 47 77 72 45 76 75 2 7 25 26 31 67 8 64 65 16 63 34 44 46 6 57 29 73 4 53 54 69 18 74 5 79 39 17 11 9 78 68 59 12 49 55 15 42 30 71 51 24 70 19 28 1 38 33 66 43 41 20 21 3 10 22 37 50 61 56 60 32 14 27 52 36 35 58 62 48 23 13 
3, 48 77 72 45 76 75 2 6 25 27 31 67 8 63 66 16 64 36 42 46 7 57 29 73 4 52 54 69 18 74 5 79 39 17 11 10 78 68 59 12 47 55 15 43 30 71 51 24 70 19 28 1 38 32 65 44 41 20 21 3 9 22 37 50 61 56 60 33 14 26 53 35 34 58 62 49 23 13 
4, 47 77 72 49 76 75 2 6 24 27 32 68 8 65 64 15 63 34 41 50 7 57 30 73 4 54 48 69 18 74 5 79 37 16 11 9 78 67 59 12 45 55 17 42 29 71 46 25 70 19 26 1 39 33 66 44 43 21 20 3 10 22 36 52 61 56 60 31 14 28 53 35 38 58 62 51 23 13 
5, 48 77 72 46 76 75 2 6 24 27 31 67 7 64 66 17 62 36 44 45 8 57 29 73 4 52 54 69 18 74 5 79 39 16 11 10 78 68 59 12 47 55 15 42 30 71 51 25 70 19 28 1 38 33 65 43 41 20 21 3 9 22 37 50 61 56 60 32 14 26 53 35 34 58 63 49 23 13 
6, 48 77 72 45 76 75 2 6 24 27 31 67 8 63 66 17 64 36 42 46 7 57 29 73 4 52 54 69 18 74 5 79 39 16 11 10 78 68 59 12 47 55 15 43 30 71 51 25 70 19 28 1 38 32 65 44 41 20 21 3 9 22 37 50 61 56 60 33 14 26 53 35 34 58 62 49 23 13 
7, 49 77 72 46 76 75 2 7 24 27 31 67 8 62 64 15 63 36 41 44 6 56 29 74 4 51 53 69 19 73 5 79 37 17 10 11 78 68 59 12 48 55 16 42 30 71 50 25 70 18 28 1 39 32 66 45 43 20 21 3 9 22 38 52 60 57 61 33 14 26 54 34 35 58 65 47 23 13 
8, 50 77 73 48 74 76 1 11 18 32 40 66 12 62 69 13 67 34 43 47 8 55 29 75 5 46 53 65 15 72 3 79 28 19 6 7 78 68 64 16 56 51 17 45 24 71 52 27 70 20 33 2 38 30 59 37 39 22 25 4 10 21 26 49 57 58 63 36 14 31 54 35 41 61 60 42 23 9 
9, 48 77 72 45 76 75 2 6 24 27 31 67 8 64 66 16 62 36 42 46 7 57 29 73 4 52 54 69 18 74 5 79 39 17 11 10 78 68 59 12 47 55 15 43 30 71 51 25 70 19 28 1 38 32 65 44 41 20 21 3 9 22 37 50 61 56 60 33 14 26 53 35 34 58 63 49 23 13 
10, 49 79 72 53 75 76 3 6 25 30 36 67 8 65 63 15 61 37 43 45 9 56 29 71 4 50 55 69 16 73 5 78 40 17 11 10 77 68 58 13 47 54 18 39 27 74 46 24 70 19 26 2 38 31 66 44 41 21 20 1 7 22 35 51 62 57 60 33 14 28 52 34 32 59 64 48 23 12 
11, 48 77 72 45 75 76 2 6 24 27 31 66 8 62 67 17 63 35 42 46 7 56 29 73 4 53 55 69 18 74 5 79 39 16 11 10 78 68 59 12 47 54 15 43 30 71 52 25 70 19 28 1 38 32 65 44 41 21 20 3 9 22 37 50 61 57 60 33 14 26 51 34 36 58 64 49 23 13 
12, 48 68 70 46 79 74 3 8 34 33 24 71 16 59 62 17 60 39 38 45 5 47 29 69 4 54 55 67 20 76 7 77 40 26 10 6 78 66 50 15 53 56 11 51 31 72 52 32 73 25 30 1 37 28 63 58 42 22 19 2 13 14 36 43 61 44 65 41 12 23 49 21 27 75 64 57 18 9 
