1, 48 77 72 45 76 75 2 6 24 27 31 67 8 63 66 17 64 36 42 46 7 57 29 73 4 52 54 69 18 74 5 79 39 16 11 10 78 68 59 12 47 55 15 43 30 71 51 25 70 19 28 1 38 32 65 44 41 20 21 3 9 22 37 50 61 56 60 33 14 26 53 35 34 58 62 49 23 13 
2, 49 76 72 46 77 75 2 6 25 27 30 66 8 63 67 15 62 37 42 45 7 58 29 73 4 52 54 69 17 74 5 79 39 18 11 10 78 68 59 12 47 55 16 43 31 71 51 24 70 19 28 1 38 32 65 44 41 20 21 3 9 22 36 50 61 56 60 33 14 26 53 34 35 57 64 48 23 13 
3, 48 77 72 45 75 76 2 6 25 27 31 67 7 64 66 16 63 36 41 46 8 57 29 73 4 52 54 69 18 74 5 79 39 17 11 10 78 68 59 12 47 55 15 43 30 71 51 24 70 19 28 1 38 32 65 44 42 20 21 3 9 22 37 50 61 56 60 33 14 26 53 35 34 58 62 49 23 13 
4, 48 77 72 45 76 75 2 6 24 27 33 66 9 62 67 16 63 34 42 46 7 57 29 74 4 52 54 69 18 73 5 79 38 17 11 10 78 68 59 13 47 55 15 44 30 71 50 25 70 19 28 1 39 31 65 43 41 21 20 3 8 23 36 51 61 56 60 32 14 26 53 35 37 58 64 49 22 12 
5, 48 77 72 45 76 75 2 6 24 27 34 67 8 65 66 15 62 37 40 46 7 57 28 73 4 53 54 69 19 74 5 79 39 17 10 11 78 68 61 12 47 55 16 43 29 71 52 25 70 18 26 1 38 30 63 44 42 21 20 3 9 22 33 50 60 56 59 31 14 32 51 35 36 58 64 49 23 13 
6, 48 77 72 45 76 75 2 6 24 27 31 67 8 64 66 17 62 36 42 46 7 57 29 73 4 52 54 69 18 74 5 79 39 16 11 10 78 68 59 12 47 55 15 43 30 71 51 25 70 19 28 1 38 32 65 44 41 20 21 3 9 22 37 50 61 56 60 33 14 26 53 35 34 58 63 49 23 13 
7, 47 77 72 46 74 76 2 6 25 27 32 66 7 64 67 15 62 35 42 48 8 57 29 73 4 52 54 68 18 75 5 79 38 17 11 10 78 69 59 13 49 55 16 41 31 71 53 24 70 20 28 1 39 30 63 43 44 21 19 3 9 23 36 50 61 56 60 34 14 26 51 37 33 58 65 45 22 12 
8, 49 76 72 45 77 75 2 6 25 27 31 68 7 66 65 16 64 36 42 46 8 57 29 73 4 52 54 69 18 74 5 79 38 17 11 10 78 67 58 12 47 55 15 43 30 71 51 24 70 19 28 1 39 32 63 44 41 20 21 3 9 22 37 50 61 56 60 33 14 26 53 34 35 59 62 48 23 13 
9, 41 77 67 49 66 78 8 12 30 28 39 51 6 73 56 10 68 40 33 52 7 69 32 45 3 57 71 76 19 79 9 70 38 14 4 5 75 54 53 13 55 44 17 29 23 72 47 37 63 18 22 1 35 46 59 42 48 24 25 2 21 34 31 58 65 60 74 36 26 11 62 27 50 61 64 16 20 15 
10, 49 77 72 45 76 75 2 6 24 26 32 67 7 63 65 16 64 36 42 46 8 57 29 74 4 52 54 69 18 73 5 79 39 17 11 10 78 68 59 12 48 55 15 44 30 71 51 25 70 19 27 1 38 34 66 43 41 21 20 3 9 22 37 50 61 56 60 31 14 28 53 35 33 58 62 47 23 13 
11, 48 76 72 45 77 75 2 6 24 26 31 67 7 65 66 15 62 37 42 46 8 57 28 73 4 53 54 69 18 74 5 79 39 17 11 9 78 68 58 12 47 55 16 43 30 71 51 25 70 19 27 1 38 32 64 44 41 20 21 3 10 22 36 50 61 56 60 33 14 29 52 35 34 59 63 49 23 13 
12, 48 77 72 45 75 76 2 6 26 27 32 68 7 65 66 17 62 36 42 46 8 57 31 73 4 52 54 69 18 74 5 79 39 16 11 10 78 67 59 12 47 55 15 44 29 71 51 24 70 19 25 1 38 30 64 43 40 21 20 3 9 22 37 50 61 56 60 33 14 28 53 34 35 58 63 49 23 13 
13, 45 77 73 48 76 75 3 7 24 29 26 62 9 69 70 15 67 32 39 47 8 54 31 72 4 53 56 64 17 71 5 79 38 13 12 6 78 68 58 11 49 55 14 44 33 74 46 25 66 19 28 1 40 27 63 42 43 21 22 2 10 23 34 52 61 59 60 35 16 30 50 37 36 57 65 51 20 18 
14, 49 77 73 46 75 76 2 6 24 28 32 66 7 65 68 16 62 35 42 47 8 57 29 72 4 53 54 69 17 74 5 79 39 18 11 10 78 67 59 13 48 55 14 43 30 71 45 25 70 19 26 1 37 33 64 41 44 21 22 3 9 20 36 51 61 56 60 31 15 27 52 38 34 58 63 50 23 12 
15, 50 76 72 46 75 77 2 7 24 28 31 68 6 64 66 15 63 37 42 45 8 57 29 73 4 52 54 69 18 74 5 79 39 16 11 10 78 67 59 12 49 55 17 41 30 71 47 25 70 19 26 1 38 33 65 43 44 20 21 3 9 22 36 51 61 56 60 34 14 27 53 32 35 58 62 48 23 13 
16, 48 77 71 46 76 75 2 6 26 27 32 66 8 62 67 16 63 36 41 47 9 57 29 73 4 52 54 69 18 74 5 79 38 17 10 11 78 68 58 12 49 55 15 43 30 72 51 24 70 19 28 1 39 33 64 45 42 20 21 3 7 22 37 50 60 56 61 31 14 25 53 35 34 59 65 44 23 13 
17, 48 77 72 46 76 75 2 6 25 27 31 67 7 61 66 16 63 36 44 45 8 57 29 73 4 52 54 69 18 74 5 79 38 17 11 10 78 68 58 12 47 55 15 40 30 71 50 24 70 19 28 1 39 32 64 42 43 21 20 3 9 23 37 51 62 56 60 33 14 26 53 34 35 59 65 49 22 13 
18, 48 77 72 45 76 75 2 6 24 27 31 67 7 64 66 15 63 36 42 46 8 56 29 73 4 52 54 69 18 74 5 79 39 17 11 10 78 68 59 12 47 55 16 43 30 71 51 25 70 19 28 1 38 32 65 44 41 20 21 3 9 22 37 50 61 57 60 33 14 26 53 35 34 58 62 49 23 13 
19, 48 76 72 45 77 75 2 6 24 27 31 67 8 65 66 16 62 36 42 46 7 57 29 73 4 52 54 69 18 74 5 79 39 17 11 10 78 68 59 12 47 55 15 44 30 71 51 25 70 19 28 1 38 32 64 43 41 20 21 3 9 22 37 50 61 56 60 33 14 26 53 35 34 58 63 49 23 13 
