1, 48 76 72 45 77 75 2 6 25 27 31 67 8 62 65 15 63 36 42 46 7 57 29 73 4 52 54 69 18 74 5 78 38 17 11 10 79 68 59 12 47 55 16 43 30 71 51 24 70 19 28 1 39 32 64 44 41 20 21 3 9 22 37 50 61 56 60 33 14 26 53 35 34 58 66 49 23 13 
2, 48 75 72 45 76 77 1 6 24 27 33 67 7 64 66 15 62 36 42 46 12 57 29 74 2 52 54 69 18 73 5 78 39 17 13 9 79 68 59 10 47 55 16 43 30 71 51 25 70 19 28 3 38 31 65 44 41 20 21 4 8 22 37 50 61 56 60 32 14 26 53 35 34 58 63 49 23 11 
3, 44 75 71 46 76 74 1 6 25 27 31 65 9 62 70 18 64 37 30 47 7 57 29 73 4 51 54 67 19 77 5 78 39 17 13 10 79 68 59 12 49 53 16 43 34 72 55 24 69 22 28 2 40 32 66 45 42 20 21 3 8 23 38 50 61 56 60 35 15 26 52 33 36 58 63 48 14 11 
4, 43 74 71 46 75 76 1 6 24 26 31 67 11 59 64 17 63 37 39 47 9 57 30 72 4 52 54 69 19 77 5 78 38 16 8 12 79 68 62 13 50 55 15 45 27 73 49 29 70 18 28 2 40 35 65 42 41 20 21 3 7 22 33 51 61 56 60 34 10 25 53 32 36 58 66 48 23 14 
5, 48 73 71 45 75 77 1 6 23 29 36 67 8 61 66 17 63 35 40 46 7 57 30 74 4 50 53 70 19 76 5 78 38 18 10 11 79 68 58 12 54 55 16 42 28 72 49 25 69 13 27 3 39 34 64 44 43 20 21 2 9 22 37 52 62 56 60 31 15 26 51 33 32 59 65 47 24 14 
6, 48 77 72 45 76 75 1 8 24 27 31 66 6 62 67 16 63 36 42 46 7 57 29 73 2 52 54 69 18 74 3 78 41 17 11 10 79 68 59 13 47 55 15 43 30 71 51 25 70 19 28 4 38 32 65 44 40 20 21 5 9 22 37 50 61 56 60 33 14 26 53 35 34 58 64 49 23 12 
7, 48 77 72 45 75 76 1 6 24 27 31 66 8 63 65 15 64 36 42 46 7 57 29 74 4 52 55 69 16 73 5 78 39 18 11 10 79 68 59 12 47 54 17 43 30 71 51 25 70 19 28 2 38 32 67 44 41 20 21 3 9 22 37 50 61 56 60 33 14 26 53 35 34 58 62 49 23 13 
8, 48 76 72 46 74 75 1 6 24 27 31 66 7 69 65 17 64 37 42 45 9 57 29 77 4 52 54 68 18 73 5 78 39 16 8 11 79 67 59 12 47 55 15 44 30 71 51 25 70 19 28 2 38 32 63 43 41 20 21 3 10 22 36 50 61 56 60 33 14 26 53 34 35 58 62 49 23 13 
9, 48 76 72 45 77 75 3 6 24 27 31 67 8 63 66 17 64 36 42 46 7 57 29 73 4 52 54 69 18 74 5 79 39 16 11 10 78 68 59 12 47 55 15 43 30 71 51 25 70 19 28 1 38 32 65 44 41 20 21 2 9 22 37 50 61 56 60 33 14 26 53 35 34 58 62 49 23 13 
10, 48 77 72 46 75 76 1 5 24 27 31 67 8 62 66 16 64 37 42 45 7 57 29 73 2 52 54 69 18 74 6 78 39 17 11 10 79 68 59 13 47 55 15 43 30 71 51 25 70 19 28 3 38 32 63 44 41 21 20 4 9 22 34 50 61 56 60 33 14 26 53 36 35 58 65 49 23 12 
