1, 48 76 72 45 77 75 1 6 24 26 31 67 8 63 66 17 64 36 42 46 7 57 29 73 2 53 54 69 18 74 5 78 39 16 11 10 79 68 59 12 47 55 15 43 30 71 51 25 70 19 27 3 38 32 65 44 41 20 21 4 9 22 37 50 61 56 60 33 14 28 52 35 34 58 62 49 23 13 
2, 47 75 72 45 76 71 1 10 24 26 33 64 11 60 67 17 62 36 42 46 9 58 29 74 2 51 54 69 18 77 3 78 39 14 4 12 79 68 59 13 48 55 16 43 31 73 50 25 70 19 27 5 38 30 65 44 41 20 21 6 7 22 37 52 63 56 61 32 8 28 53 35 34 57 66 49 23 15 
3, 48 74 71 45 75 76 1 8 24 29 31 67 10 65 66 2 63 36 42 46 7 57 30 72 3 52 54 69 19 77 6 78 39 16 12 11 79 68 59 13 47 55 15 43 27 73 51 25 70 20 26 4 38 32 64 44 41 17 21 5 9 22 37 50 61 56 60 33 18 28 53 35 34 58 62 49 23 14 
4, 48 76 72 45 77 75 1 7 24 28 31 67 8 62 66 16 63 36 42 46 6 57 29 73 4 52 54 69 18 74 5 78 39 17 11 10 79 68 59 12 47 55 15 43 30 71 51 25 70 19 26 2 38 32 65 44 41 20 21 3 9 22 37 50 61 56 60 33 14 27 53 34 35 58 64 49 23 13 
5, 49 71 73 52 74 75 6 8 28 32 30 61 4 67 65 19 56 37 42 48 5 59 29 72 1 46 54 68 13 69 9 76 36 23 11 10 77 63 57 16 47 55 18 39 24 70 51 22 66 26 25 2 35 41 62 44 43 17 20 3 7 14 34 53 60 50 78 31 12 27 79 38 33 58 64 45 21 15 
6, 48 74 71 45 75 76 1 6 26 27 31 66 9 62 65 17 64 36 42 46 7 57 29 77 5 52 54 69 18 72 2 78 39 16 15 10 79 67 59 11 47 55 14 43 30 73 51 24 70 19 28 3 38 32 63 44 41 20 21 4 8 22 37 50 60 56 68 33 13 25 53 35 34 58 61 49 23 12 
7, 48 75 72 45 74 73 1 8 24 27 35 66 10 63 67 16 64 38 42 46 9 57 29 76 2 52 54 69 18 77 3 78 39 17 12 11 79 68 59 13 47 55 15 43 30 71 51 25 70 19 28 4 34 31 65 44 41 20 21 5 6 22 33 50 61 56 60 32 14 26 53 37 36 58 62 49 23 7 
8, 48 77 72 45 76 75 3 6 24 27 31 67 8 62 66 17 63 36 42 46 7 57 29 73 4 52 54 69 18 74 5 78 39 16 11 10 79 68 59 12 47 55 15 43 30 71 51 25 70 19 28 1 38 32 65 44 41 20 21 2 9 22 37 50 61 56 60 33 14 26 53 35 34 58 64 49 23 13 
9, 48 76 72 45 78 75 1 6 24 27 31 67 8 63 66 16 65 36 41 46 7 57 29 74 2 52 55 69 18 73 5 79 39 17 11 10 77 68 61 12 47 54 15 43 30 71 51 25 70 19 28 3 38 33 64 44 42 20 22 4 9 23 37 50 60 56 59 32 14 26 53 35 34 58 62 49 21 13 
10, 51 75 71 45 74 73 1 14 25 28 33 67 12 70 65 18 62 37 42 49 13 57 29 76 2 53 52 66 20 72 3 77 40 4 5 11 78 69 60 6 47 54 17 43 30 79 48 22 68 16 27 7 38 31 64 44 41 21 19 8 9 24 36 50 59 56 61 32 15 26 55 35 34 58 63 46 23 10 
11, 48 75 72 45 76 74 1 7 24 29 32 65 9 69 64 17 62 36 42 46 8 56 26 77 5 50 54 67 19 73 2 78 39 16 11 10 79 66 59 12 47 55 15 43 27 71 51 25 70 20 30 3 38 33 68 44 41 18 21 4 6 22 37 52 61 57 60 31 14 28 53 35 34 58 63 49 23 13 
12, 48 74 75 45 76 77 1 9 24 27 31 69 11 64 66 16 61 36 42 46 10 57 29 73 2 52 54 68 18 72 7 78 39 17 12 8 79 67 58 13 47 55 15 43 30 71 51 25 70 19 28 3 38 32 65 44 41 20 21 4 5 22 37 50 62 56 60 33 6 26 53 35 34 59 63 49 23 14 
13, 48 75 71 45 74 76 1 6 26 25 32 68 11 64 67 17 63 35 44 47 8 56 29 73 2 52 54 70 18 77 7 78 39 16 12 10 79 66 59 5 46 55 15 42 30 72 51 24 69 20 28 3 38 31 65 41 43 19 21 4 9 22 37 49 61 57 60 36 14 27 53 33 34 58 62 50 23 13 
14, 48 74 75 45 76 77 1 6 24 27 31 67 8 66 65 15 62 36 44 46 7 57 29 72 4 52 54 69 18 73 5 78 39 17 11 10 79 68 59 12 47 55 16 42 30 71 51 25 70 19 28 2 38 32 64 43 41 20 21 3 9 22 37 50 61 56 60 33 14 26 53 34 35 58 63 49 23 13 
15, 49 76 71 45 75 77 1 7 24 27 31 67 9 62 66 17 63 36 42 46 8 58 29 73 2 53 54 69 19 74 3 78 39 16 13 10 79 68 60 11 48 55 15 43 30 72 51 25 70 18 28 4 38 32 65 44 41 20 21 5 6 22 37 50 61 56 59 34 14 26 52 35 33 57 64 47 23 12 
16, 48 76 73 45 75 77 3 6 24 27 31 67 8 63 66 17 64 36 42 46 7 57 29 72 4 52 54 69 18 74 5 78 39 16 11 10 79 68 59 12 47 55 15 43 30 71 51 25 70 19 28 1 38 32 65 44 41 20 21 2 9 22 37 50 61 56 60 33 14 26 53 35 34 58 62 49 23 13 
17, 48 76 72 45 77 75 1 8 25 26 31 66 6 64 67 17 62 36 43 46 9 57 29 74 2 52 54 69 18 73 7 78 39 16 3 12 79 68 58 11 47 55 15 42 30 71 51 24 70 19 27 4 38 32 65 44 41 20 21 5 10 22 37 50 61 56 60 33 14 28 53 35 34 59 63 49 23 13 
