1, 48 76 72 45 77 75 1 6 24 27 31 66 8 63 67 17 64 36 42 46 7 57 29 73 4 52 54 68 18 74 5 78 39 16 11 9 79 69 59 12 47 55 15 43 30 71 51 25 70 19 28 2 38 32 65 44 41 20 21 3 10 22 37 50 61 56 60 34 14 26 53 33 35 58 62 49 23 13 
2, 48 76 72 45 75 77 3 6 24 27 31 67 8 63 66 17 64 36 42 46 7 57 29 73 4 52 54 69 18 74 5 78 39 16 11 10 79 68 59 12 47 55 15 43 30 71 51 25 70 20 28 1 38 32 65 44 41 19 21 2 9 22 37 50 61 56 60 33 14 26 53 35 34 58 62 49 23 13 
3, 46 75 72 47 74 76 1 6 24 26 32 67 12 63 66 17 64 36 42 45 11 57 29 73 2 52 54 71 18 77 5 78 39 16 9 8 79 68 61 10 48 55 15 43 30 70 51 25 69 19 27 3 38 33 65 44 41 20 21 4 7 22 37 50 60 56 59 31 14 28 53 35 34 58 62 49 23 13 
4, 48 76 72 45 77 75 1 6 24 26 31 67 8 64 66 15 62 36 42 46 7 57 29 73 2 52 54 69 18 74 5 78 39 17 11 10 79 68 59 12 47 55 16 43 30 71 51 25 70 19 27 3 38 32 65 44 41 20 21 4 9 22 37 50 60 56 61 33 14 28 53 35 34 58 63 49 23 13 
5, 48 75 72 45 76 77 1 7 25 26 31 63 6 65 67 17 62 36 42 46 8 56 29 73 4 52 54 70 18 74 5 78 39 16 11 9 79 68 61 13 47 55 15 43 30 71 51 24 69 19 27 2 38 32 66 44 41 20 21 3 10 22 37 50 60 57 59 33 14 28 53 35 34 58 64 49 23 12 
6, 48 76 72 46 77 75 1 7 24 27 31 67 9 64 66 15 65 36 42 45 8 57 29 73 4 52 55 69 16 74 5 78 38 19 6 11 79 68 60 13 47 54 17 43 30 71 51 26 70 18 28 2 37 32 63 44 41 21 20 3 10 22 39 50 59 56 61 33 14 25 53 35 34 58 62 49 23 12 
7, 47 77 72 45 75 76 1 6 24 27 33 65 11 63 67 16 64 36 42 46 8 57 29 73 4 52 54 69 18 74 5 78 39 15 12 9 79 68 60 13 48 55 17 43 30 71 51 25 70 20 28 2 38 31 62 44 41 19 21 3 7 22 37 50 61 56 59 32 14 26 53 35 34 58 66 49 23 10 
8, 47 76 73 45 75 77 1 6 24 27 33 67 7 64 66 17 62 35 42 46 8 57 29 74 2 52 54 69 18 72 5 78 39 14 11 10 79 68 59 12 48 55 16 43 30 71 51 25 70 19 28 3 38 31 65 44 41 20 21 4 9 22 37 50 61 56 60 32 15 26 53 34 36 58 63 49 23 13 
9, 48 75 73 45 76 77 1 8 24 28 31 69 10 62 66 17 63 36 44 46 9 57 29 72 2 52 54 67 18 74 3 78 39 15 7 11 79 68 59 12 47 56 16 42 30 71 50 25 70 22 27 4 38 32 65 43 41 19 21 5 6 23 37 51 61 55 60 33 14 26 53 35 34 58 64 49 20 13 
10, 48 75 72 45 76 74 1 6 24 27 31 67 10 63 65 14 64 36 42 46 8 57 29 77 2 52 54 69 18 73 5 78 39 17 11 9 79 66 58 12 47 55 16 43 30 71 51 25 70 19 28 3 38 32 68 44 41 20 21 4 7 22 37 50 59 56 61 33 15 26 53 34 35 60 62 49 23 13 
11, 48 75 73 45 76 77 1 6 24 27 33 68 8 66 64 15 61 36 41 46 7 57 29 72 2 52 54 65 18 74 5 78 39 17 11 10 79 69 63 12 47 55 16 42 30 71 51 25 70 19 28 3 38 31 67 44 43 20 21 4 9 22 37 50 60 56 59 32 14 26 53 35 34 58 62 49 23 13 
12, 48 76 72 45 77 75 2 6 24 26 31 67 8 63 65 17 66 36 42 46 7 57 29 73 4 52 54 69 18 74 5 78 39 16 11 10 79 68 58 12 47 55 15 43 30 71 51 25 70 19 27 1 38 32 64 44 41 20 21 3 9 22 37 50 60 56 61 33 14 28 53 35 34 59 62 49 23 13 
13, 48 75 72 45 76 77 2 6 24 26 30 67 8 65 66 17 62 36 42 46 7 57 29 73 4 52 54 69 18 74 5 78 39 16 11 9 79 68 59 12 47 55 15 43 32 71 51 25 70 20 27 1 38 33 61 44 41 19 21 3 10 22 37 50 63 56 60 34 14 28 53 31 35 58 64 49 23 13 
14, 48 76 72 45 77 75 1 6 24 27 31 67 8 64 66 15 62 36 41 46 7 57 29 73 4 52 54 69 18 74 5 78 39 17 12 10 79 68 59 11 47 55 16 42 30 71 50 25 70 19 28 2 38 32 65 43 44 20 21 3 9 22 37 51 61 56 60 33 14 26 53 34 35 58 63 49 23 13 
15, 45 72 73 49 70 74 3 7 24 26 27 68 8 62 64 16 63 30 39 48 1 59 28 75 4 52 55 66 17 71 5 76 35 19 13 12 77 67 58 14 46 54 18 47 29 78 51 22 69 23 31 2 37 33 79 43 42 21 20 6 10 25 34 50 60 57 61 38 11 32 53 36 40 56 65 44 15 9 
16, 48 77 72 46 76 75 1 6 26 27 32 65 8 63 67 17 64 36 42 45 7 57 28 73 4 52 55 69 18 74 5 78 39 16 10 11 79 68 59 12 47 54 15 43 29 71 51 24 70 19 25 2 38 33 66 44 41 20 21 3 9 22 37 50 61 56 60 30 14 31 53 35 34 58 62 49 23 13 
17, 48 75 71 45 77 74 1 8 28 26 30 67 10 63 66 17 62 36 41 47 7 58 29 76 4 51 54 69 18 73 5 78 38 16 11 9 79 68 57 12 52 55 15 43 33 72 50 24 70 19 25 2 37 31 65 44 42 20 21 3 6 22 39 49 60 56 61 32 13 27 53 35 34 59 64 46 23 14 
18, 48 75 71 45 76 77 1 6 24 27 32 67 7 62 66 17 63 36 41 46 8 57 29 72 4 52 54 69 18 73 5 78 39 16 11 10 79 68 59 12 47 55 15 42 30 74 50 25 70 19 28 2 37 33 65 44 43 21 20 3 9 22 38 51 61 56 60 31 14 26 53 35 34 58 64 49 23 13 
19, 49 75 72 46 76 77 3 6 24 27 32 61 7 67 64 17 65 36 41 48 12 56 29 74 4 47 55 68 18 73 5 78 39 16 10 9 79 69 59 13 51 54 15 43 30 71 52 25 70 21 28 1 37 31 66 45 42 20 19 2 8 22 38 50 60 57 62 33 14 26 53 35 34 58 63 44 23 11 
